Column1,Column2,Column3,Column4,county,Net Reported Quantity
2010,17,IL,1,ADAMS                         ,2
2010,17,IL,1,ADAMS                         ,1925
2010,17,IL,1,ADAMS                         ,111
2010,17,IL,1,ADAMS                         ,418
2010,17,IL,1,ADAMS                         ,3739
2010,17,IL,1,ADAMS                         ,1230
2010,17,IL,1,ADAMS                         ,497
2010,17,IL,1,ADAMS                         ,4531
2010,17,IL,1,ADAMS                         ,409
2010,17,IL,1,ADAMS                         ,696
2010,17,IL,1,ADAMS                         ,912
2010,17,IL,1,ADAMS                         ,6955
2010,17,IL,1,ADAMS                         ,16519
2010,17,IL,1,ADAMS                         ,32540
2010,17,IL,1,ADAMS                         ,18312
2010,17,IL,1,ADAMS                         ,8976
2010,17,IL,1,ADAMS                         ,71
2010,17,IL,1,ADAMS                         ,9754
2010,17,IL,1,ADAMS                         ,0
2010,17,IL,1,ADAMS                         ,0
2010,17,IL,1,ADAMS                         ,311
2010,17,IL,1,ADAMS                         ,19
2010,17,IL,1,ADAMS                         ,5292
2010,17,IL,1,ADAMS                         ,10262
2010,17,IL,1,ADAMS                         ,10923
2010,17,IL,1,ADAMS                         ,5048
2010,17,IL,1,ADAMS                         ,219
2010,17,IL,1,ADAMS                         ,41
2010,17,IL,1,ADAMS                         ,0
2010,17,IL,1,ADAMS                         ,0
2010,17,IL,1,ADAMS                         ,0
2010,17,IL,1,ADAMS                         ,252
2010,17,IL,1,ADAMS                         ,215
2010,17,IL,1,ADAMS                         ,0
2010,17,IL,1,ADAMS                         ,2485
2010,17,IL,1,ADAMS                         ,130
2010,17,IL,1,ADAMS                         ,959
2010,17,IL,1,ADAMS                         ,4289
2010,17,IL,1,ADAMS                         ,765
2010,17,IL,1,ADAMS                         ,1028
2010,17,IL,1,ADAMS                         ,77
2010,17,IL,1,ADAMS                         ,4445
2010,17,IL,1,ADAMS                         ,733
2010,17,IL,1,ADAMS                         ,866
2010,17,IL,1,ADAMS                         ,6417
2010,17,IL,1,ADAMS                         ,12222
2010,17,IL,1,ADAMS                         ,17981
2010,17,IL,1,ADAMS                         ,13908
2010,17,IL,1,ADAMS                         ,1413
2010,17,IL,1,ADAMS                         ,74
2010,17,IL,1,ADAMS                         ,6177
2010,17,IL,1,ADAMS                         ,2
2010,17,IL,1,ADAMS                         ,0
2010,17,IL,1,ADAMS                         ,161
2010,17,IL,1,ADAMS                         ,637
2010,17,IL,1,ADAMS                         ,4758
2010,17,IL,1,ADAMS                         ,8884
2010,17,IL,1,ADAMS                         ,5922
2010,17,IL,1,ADAMS                         ,3422
2010,17,IL,1,ADAMS                         ,9
2010,17,IL,1,ADAMS                         ,227
2010,17,IL,1,ADAMS                         ,106
2010,17,IL,1,ADAMS                         ,483
2010,17,IL,1,ADAMS                         ,7
2010,17,IL,1,ADAMS                         ,142
2010,17,IL,1,ADAMS                         ,0
2010,17,IL,1,ADAMS                         ,101
2010,17,IL,1,ADAMS                         ,1087
2010,17,IL,1,ADAMS                         ,793
2010,17,IL,1,ADAMS                         ,414
2010,17,IL,1,ADAMS                         ,0
2010,17,IL,1,ADAMS                         ,0
2010,17,IL,3,ALEXANDER                     ,2256
2010,17,IL,3,ALEXANDER                     ,3346
2010,17,IL,3,ALEXANDER                     ,602
2010,17,IL,3,ALEXANDER                     ,0
2010,17,IL,3,ALEXANDER                     ,335
2010,17,IL,3,ALEXANDER                     ,514
2010,17,IL,3,ALEXANDER                     ,253
2010,17,IL,3,ALEXANDER                     ,2800
2010,17,IL,3,ALEXANDER                     ,861
2010,17,IL,3,ALEXANDER                     ,715
2010,17,IL,3,ALEXANDER                     ,0
2010,17,IL,3,ALEXANDER                     ,172
2010,17,IL,3,ALEXANDER                     ,0
2010,17,IL,3,ALEXANDER                     ,0
2010,17,IL,3,ALEXANDER                     ,0
2010,17,IL,3,ALEXANDER                     ,70
2010,17,IL,3,ALEXANDER                     ,267
2010,17,IL,3,ALEXANDER                     ,721
2010,17,IL,3,ALEXANDER                     ,3300
2010,17,IL,3,ALEXANDER                     ,14342
2010,17,IL,3,ALEXANDER                     ,1371
2010,17,IL,3,ALEXANDER                     ,131
2010,17,IL,3,ALEXANDER                     ,1462
2010,17,IL,3,ALEXANDER                     ,780
2010,17,IL,3,ALEXANDER                     ,1625
2010,17,IL,3,ALEXANDER                     ,2848
2010,17,IL,3,ALEXANDER                     ,131
2010,17,IL,3,ALEXANDER                     ,2461
2010,17,IL,3,ALEXANDER                     ,348
2010,17,IL,3,ALEXANDER                     ,886
2010,17,IL,3,ALEXANDER                     ,114
2010,17,IL,3,ALEXANDER                     ,0
2010,17,IL,3,ALEXANDER                     ,0
2010,17,IL,3,ALEXANDER                     ,0
2010,17,IL,3,ALEXANDER                     ,180
2010,17,IL,3,ALEXANDER                     ,122
2010,17,IL,3,ALEXANDER                     ,0
2010,17,IL,999,ALL OTHER COUNTIES            ,
2010,17,IL,999,ALL OTHER COUNTIES            ,2202945
2010,17,IL,999,ALL OTHER COUNTIES            ,134053374
2010,17,IL,5,BOND                          ,138
2010,17,IL,5,BOND                          ,1223
2010,17,IL,5,BOND                          ,400
2010,17,IL,5,BOND                          ,1163
2010,17,IL,5,BOND                          ,78
2010,17,IL,5,BOND                          ,1387
2010,17,IL,5,BOND                          ,261
2010,17,IL,5,BOND                          ,137
2010,17,IL,5,BOND                          ,440
2010,17,IL,5,BOND                          ,2484
2010,17,IL,5,BOND                          ,18101
2010,17,IL,5,BOND                          ,8211
2010,17,IL,5,BOND                          ,13226
2010,17,IL,5,BOND                          ,2921
2010,17,IL,5,BOND                          ,3467
2010,17,IL,5,BOND                          ,533
2010,17,IL,5,BOND                          ,1470
2010,17,IL,5,BOND                          ,8342
2010,17,IL,5,BOND                          ,1960
2010,17,IL,5,BOND                          ,138
