Column1,Column2,Column3,Column4,Column5,county,Net Reported Quantity
2012,17,IL,1,Adams                         ,ADAMS                         ,0
2012,17,IL,1,Adams                         ,ADAMS                         ,16005
2012,17,IL,1,Adams                         ,ADAMS                         ,0
2012,17,IL,1,Adams                         ,ADAMS                         ,769
2012,17,IL,1,Adams                         ,ADAMS                         ,859
2012,17,IL,1,Adams                         ,ADAMS                         ,4643
2012,17,IL,1,Adams                         ,ADAMS                         ,17334
2012,17,IL,1,Adams                         ,ADAMS                         ,37326
2012,17,IL,1,Adams                         ,ADAMS                         ,34976
2012,17,IL,1,Adams                         ,ADAMS                         ,9314
2012,17,IL,1,Adams                         ,ADAMS                         ,1111
2012,17,IL,1,Adams                         ,ADAMS                         ,4217
2012,17,IL,1,Adams                         ,ADAMS                         ,3315
2012,17,IL,1,Adams                         ,ADAMS                         ,5582
2012,17,IL,1,Adams                         ,ADAMS                         ,362
2012,17,IL,1,Adams                         ,ADAMS                         ,1730
2012,17,IL,1,Adams                         ,ADAMS                         ,77
2012,17,IL,1,Adams                         ,ADAMS                         ,385
2012,17,IL,1,Adams                         ,ADAMS                         ,1032
2012,17,IL,1,Adams                         ,ADAMS                         ,1693
2012,17,IL,1,Adams                         ,ADAMS                         ,351
2012,17,IL,1,Adams                         ,ADAMS                         ,195
2012,17,IL,1,Adams                         ,ADAMS                         ,3931
2012,17,IL,1,Adams                         ,ADAMS                         ,0
2012,17,IL,1,Adams                         ,ADAMS                         ,0
2012,17,IL,1,Adams                         ,ADAMS                         ,0
2012,17,IL,1,Adams                         ,ADAMS                         ,623
2012,17,IL,1,Adams                         ,ADAMS                         ,149
2012,17,IL,1,Adams                         ,ADAMS                         ,0
2012,17,IL,1,Adams                         ,ADAMS                         ,483
2012,17,IL,1,Adams                         ,ADAMS                         ,84
2012,17,IL,1,Adams                         ,ADAMS                         ,6395
2012,17,IL,1,Adams                         ,ADAMS                         ,4
2012,17,IL,1,Adams                         ,ADAMS                         ,0
2012,17,IL,1,Adams                         ,ADAMS                         ,624
2012,17,IL,1,Adams                         ,ADAMS                         ,898
2012,17,IL,1,Adams                         ,ADAMS                         ,6589
2012,17,IL,1,Adams                         ,ADAMS                         ,13529
2012,17,IL,1,Adams                         ,ADAMS                         ,25064
2012,17,IL,1,Adams                         ,ADAMS                         ,20600
2012,17,IL,1,Adams                         ,ADAMS                         ,6184
2012,17,IL,1,Adams                         ,ADAMS                         ,786
2012,17,IL,1,Adams                         ,ADAMS                         ,1554
2012,17,IL,1,Adams                         ,ADAMS                         ,779
2012,17,IL,1,Adams                         ,ADAMS                         ,2284
2012,17,IL,1,Adams                         ,ADAMS                         ,2268
2012,17,IL,1,Adams                         ,ADAMS                         ,703
2012,17,IL,1,Adams                         ,ADAMS                         ,952
2012,17,IL,1,Adams                         ,ADAMS                         ,277
2012,17,IL,1,Adams                         ,ADAMS                         ,785
2012,17,IL,1,Adams                         ,ADAMS                         ,1655
2012,17,IL,1,Adams                         ,ADAMS                         ,1386
2012,17,IL,1,Adams                         ,ADAMS                         ,443
2012,17,IL,1,Adams                         ,ADAMS                         ,596
2012,17,IL,1,Adams                         ,ADAMS                         ,0
2012,17,IL,1,Adams                         ,ADAMS                         ,3666
2012,17,IL,1,Adams                         ,ADAMS                         ,0
2012,17,IL,1,Adams                         ,ADAMS                         ,889
2012,17,IL,1,Adams                         ,ADAMS                         ,1172
2012,17,IL,1,Adams                         ,ADAMS                         ,1053
2012,17,IL,1,Adams                         ,ADAMS                         ,70
2012,17,IL,1,Adams                         ,ADAMS                         ,12
2012,17,IL,1,Adams                         ,ADAMS                         ,271
2012,17,IL,1,Adams                         ,ADAMS                         ,7
2012,17,IL,1,Adams                         ,ADAMS                         ,377
2012,17,IL,1,Adams                         ,ADAMS                         ,0
2012,17,IL,1,Adams                         ,ADAMS                         ,170
2012,17,IL,1,Adams                         ,ADAMS                         ,328
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,730
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,10
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,756
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,1347
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,2217
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,980
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,901
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,432
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,335
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,3097
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,99
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,557
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,134
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,482
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,131
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,4578
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,3297
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,6232
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,3060
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,722
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,44
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,1318
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,68
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,361
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,1291
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,13488
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,439
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,10
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,621
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,146
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,0
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,75
2012,17,IL,3,Alexander                     ,ALEXANDER                     ,187
2012,17,IL,999,All Other Counties            ,ALL OTHER COUNTIES            ,
2012,17,IL,999,All Other Counties            ,ALL OTHER COUNTIES            ,
2012,17,IL,999,All Other Counties            ,ALL OTHER COUNTIES            ,
2012,17,IL,999,All Other Counties            ,ALL OTHER COUNTIES            ,
2012,17,IL,5,Bond                          ,BOND                          ,3174
2012,17,IL,5,Bond                          ,BOND                          ,160
2012,17,IL,5,Bond                          ,BOND                          ,190
2012,17,IL,5,Bond                          ,BOND                          ,1765
2012,17,IL,5,Bond                          ,BOND                          ,19305
2012,17,IL,5,Bond                          ,BOND                          ,22586
2012,17,IL,5,Bond                          ,BOND                          ,12755
2012,17,IL,5,Bond                          ,BOND                          ,3407
2012,17,IL,5,Bond                          ,BOND                          ,19
2012,17,IL,5,Bond                          ,BOND                          ,322
2012,17,IL,5,Bond                          ,BOND                          ,286
2012,17,IL,5,Bond                          ,BOND                          ,180
2012,17,IL,5,Bond                          ,BOND                          ,327
2012,17,IL,5,Bond                          ,BOND                          ,156
2012,17,IL,5,Bond                          ,BOND                          ,1028
2012,17,IL,5,Bond                          ,BOND                          ,87
2012,17,IL,5,Bond                          ,BOND                          ,1468
2012,17,IL,5,Bond                          ,BOND                          ,0
2012,17,IL,5,Bond                          ,BOND                          ,0
2012,17,IL,5,Bond                          ,BOND                          ,0
2012,17,IL,5,Bond                          ,BOND                          ,0
2012,17,IL,5,Bond                          ,BOND                          ,200
2012,17,IL,5,Bond                          ,BOND                          ,0
2012,17,IL,5,Bond                          ,BOND                          ,0
2012,17,IL,5,Bond                          ,BOND                          ,0
2012,17,IL,5,Bond                          ,BOND                          ,0
2012,17,IL,5,Bond                          ,BOND                          ,0
2012,17,IL,5,Bond                          ,BOND                          ,0
2012,17,IL,5,Bond                          ,BOND                          ,80
2012,17,IL,5,Bond                          ,BOND                          ,2238
2012,17,IL,5,Bond                          ,BOND                          ,1024
2012,17,IL,5,Bond                          ,BOND                          ,1840
2012,17,IL,5,Bond                          ,BOND                          ,121
2012,17,IL,5,Bond                          ,BOND                          ,930
2012,17,IL,5,Bond                          ,BOND                          ,3118
2012,17,IL,5,Bond                          ,BOND                          ,18081
2012,17,IL,5,Bond                          ,BOND                          ,19084
2012,17,IL,5,Bond                          ,BOND                          ,13858
2012,17,IL,5,Bond                          ,BOND                          ,1988
2012,17,IL,5,Bond                          ,BOND                          ,48
2012,17,IL,5,Bond                          ,BOND                          ,17
2012,17,IL,5,Bond                          ,BOND                          ,448
